unicode,description,annotation
📃,PAGE WITH CURL,"curl,document,object,office,page"
📜,SCROLL,"object,office,paper,scroll"
📄,PAGE FACING UP,"document,object,office,page"
📰,NEWSPAPER,"communication,news,newspaper,object,paper"
🗞️,ROLLEDUP NEWSPAPER,"news,newspaper,object,paper,rolled"
📑,BOOKMARK TABS,"bookmark,mark,marker,object,office,tabs"
🔖,BOOKMARK,"bookmark,mark,object"
🏷️,LABEL,"label,object"
💰,MONEY BAG,"bag,dollar,money,moneybag,object,office"
💴,BANKNOTE WITH YEN SIGN yen banknote,"bank,banknote,bill,currency,money,note,object,office,yen"
💵,BANKNOTE WITH DOLLAR SIGN dollar banknote,"bank,banknote,bill,currency,dollar,money,note,object,office"
💶,BANKNOTE WITH EURO SIGN euro banknote,"bank,banknote,bill,currency,euro,money,note,object,office"
💷,BANKNOTE WITH POUND SIGN pound banknote,"bank,banknote,bill,currency,money,note,object,office,pound"
💸,MONEY WITH WINGS,"bank,banknote,bill,dollar,fly,money,note,object,office,wings"
💳,CREDIT CARD,"bank,card,credit,money,object,office"
💹,CHART WITH UPWARDS TREND AND YEN SIGN chart increasing with yen,"bank,chart,currency,graph,growth,market,money,object,office,rise,symbol,trend,upward,yen"
💱,CURRENCY EXCHANGE,"bank,currency,exchange,money,object,office,symbol"
💲,HEAVY DOLLAR SIGN,"currency,dollar,money,object,office,symbol"
✉️,ENVELOPE,"email,email,envelope,object,office"
📧,EMAIL SYMBOL email,"communication,email,email,letter,mail,object,office"
📨,INCOMING ENVELOPE,"communication,email,email,envelope,incoming,letter,mail,object,office,receive"
📩,ENVELOPE WITH DOWNWARDS ARROW ABOVE envelope with arrow,"arrow,communication,down,email,email,envelope,letter,mail,object,office,outgoing,sent"
📤,OUTBOX TRAY,"box,communication,letter,mail,object,office,outbox,sent,tray"
📥,INBOX TRAY,"box,communication,inbox,letter,mail,object,office,receive,tray"
📦,PACKAGE,"box,communication,object,office,package,parcel"
📫,CLOSED MAILBOX WITH RAISED FLAG,"closed,communication,flag,mail,mailbox,object,office,postbox"
📪,CLOSED MAILBOX WITH LOWERED FLAG,"closed,communication,flag,lowered,mail,mailbox,object,office,postbox"
📬,OPEN MAILBOX WITH RAISED FLAG,"communication,flag,mail,mailbox,object,office,open,postbox"
📭,OPEN MAILBOX WITH LOWERED FLAG,"communication,flag,lowered,mail,mailbox,object,office,open,postbox"
📮,POSTBOX,"communication,mail,mailbox,object,office,postbox"
🗳️,BALLOT BOX WITH BALLOT,"ballot,box,object"
✏️,PENCIL,"object,office,pencil"
✒️,BLACK NIB,"nib,object,office,pen"
🖋️,LOWER LEFT FOUNTAIN PEN fountain pen,"communication,fountain,object,office,pen"
🖊️,LOWER LEFT BALLPOINT PEN pen,"ballpoint,communication,object,office,pen"
🖌️,LOWER LEFT PAINTBRUSH paintbrush,"communication,object,office,paintbrush,painting"
🖍️,LOWER LEFT CRAYON crayon,"communication,crayon,object,office"
📝,MEMO,"communication,memo,object,office,pencil"
💼,BRIEFCASE,"briefcase,object,office,person"
📁,FILE FOLDER,"file,folder,object,office"
📂,OPEN FILE FOLDER,"file,folder,object,office,open"
🗂️,CARD INDEX DIVIDERS,"card,dividers,index,object,office"
📅,CALENDAR,"calendar,date,object,office"
📆,TEAROFF CALENDAR,"calendar,object,office"
🗒️,SPIRAL NOTE PAD spiral notepad,"note,object,office,pad,spiral"
🗓️,SPIRAL CALENDAR PAD spiral calendar,"calendar,object,office,pad,spiral"
📇,CARD INDEX,"card,index,object,office,rolodex"
📈,CHART WITH UPWARDS TREND chart increasing,"chart,graph,growth,object,office,trend,upward"
📉,CHART WITH DOWNWARDS TREND chart decreasing,"chart,down,graph,object,office,trend"
📊,BAR CHART,"bar,chart,graph,object,office"
📋,CLIPBOARD,"clipboard,object,office"
📌,PUSHPIN,"object,office,pin,pushpin"
📍,ROUND PUSHPIN,"object,office,pin,place,pushpin"
📎,PAPERCLIP,"object,office,paperclip"
🖇️,LINKED PAPERCLIPS,"communication,link,object,office,paperclip"
📏,STRAIGHT RULER,"object,office,ruler,straight edge"
📐,TRIANGULAR RULER,"object,office,ruler,set,triangle"
✂️,BLACK SCISSORS scissors,"object,office,scissors,tool"
🗃️,CARD FILE BOX,"box,card,file,object,office"
🗄️,FILE CABINET,"cabinet,file,object,office"
🗑️,WASTEBASKET,"object,office,wastebasket"
🔒,LOCK,"closed,lock,object"
🔓,OPEN LOCK,"lock,object,open,unlock"
🔏,LOCK WITH INK PEN lock with pen,"ink,lock,nib,object,pen,privacy"
🔐,CLOSED LOCK WITH KEY,"closed,key,lock,object,secure"
🔑,KEY,"key,lock,object,password"
🗝️,OLD KEY,"clue,key,lock,object,old"
🔨,HAMMER,"hammer,object,tool"
⛏️,PICK,"mining,object,pick,tool"
⚒️,HAMMER AND PICK,"hammer,object,pick,tool"
🛠️,HAMMER AND WRENCH,"hammer,object,tool,wrench"
🗡️,DAGGER KNIFE dagger,"dagger,knife,object,weapon"
⚔️,CROSSED SWORDS,"crossed,object,swords,weapon"
🔫,PISTOL,"gun,handgun,object,pistol,revolver,tool,weapon"
🏹,BOW AND ARROW,"archer,arrow,bow,object,sagittarius,sport,tool,weapon,zodiac"
🛡️,SHIELD,"object,shield,weapon"
🔧,WRENCH,"object,tool,wrench"
🔩,NUT AND BOLT,"bolt,nut,object,tool"
⚙️,GEAR,"gear,object,tool"
🗜️,COMPRESSION,"compression,object,tool,vice"
⚗️,ALEMBIC,"alembic,chemistry,object,tool"
⚖️,SCALES balance scale,"balance,justice,libra,object,scales,tool,weight,zodiac"
🔗,LINK SYMBOL link,"link,object,symbol"
⛓️,CHAINS,"chain,object"
💉,SYRINGE,"doctor,medicine,needle,object,shot,sick,syringe,tool"
💊,PILL,"doctor,medicine,object,pill,sick"
🏁,CHEQUERED FLAG,"checkered,chequered,flag,object,place,racing,sport"
🏳️,WAVING WHITE FLAG,"flag,object,waving"
🏴,WAVING BLACK FLAG,"flag,object,waving"
🚩,TRIANGULAR FLAG ON POST triangular flag,"flag,object,place,post,travel"
🎌,CROSSED FLAGS,"activity,celebration,cross,crossed,flag,japanese,object"
🚬,SMOKING SYMBOL smoking,"activity,object,smoking"
⚰️,COFFIN,"coffin,death,object"
⚱️,FUNERAL URN,"death,funeral,object,urn"
🗿,MOYAI moai,"face,moyai,place,statue,travel"
🛢️,OIL DRUM,"drum,object,oil"
🔮,CRYSTAL BALL,"ball,crystal,fairy tale,fantasy,fortune,object,tool"
🏧,AUTOMATED TELLER MACHINE ATM sign,"atm,automated,bank,place,sign,symbol,teller"
🚮,PUT LITTER IN ITS PLACE SYMBOL litter in bin sign,"litter,litterbox,place,symbol,travel"
🚰,POTABLE WATER SYMBOL potable water,"drink,potable,sign,symbol,travel,water"
♿️,WHEELCHAIR SYMBOL wheelchair,"access,sign,symbol,travel,wheelchair"
🚹,MENS SYMBOL,"lavatory,man,restroom,sign,symbol,travel,wc"
🚺,WOMENS SYMBOL,"lavatory,restroom,sign,symbol,travel,wc,woman"
🚻,RESTROOM,"lavatory,restroom,sign,symbol,travel,wc"
🚼,BABY SYMBOL,"baby,changing,sign,symbol,travel"
🚾,WATER CLOSET,"closet,lavatory,place,restroom,sign,symbol,travel,water,wc"
🛂,PASSPORT CONTROL,"control,passport,place,sign,symbol,travel"
🛃,CUSTOMS,"customs,place,sign,symbol,travel"
🛄,BAGGAGE CLAIM,"baggage,claim,place,sign,symbol,travel"
🛅,LEFT LUGGAGE,"baggage,left luggage,locker,luggage,place,sign,symbol,travel"
⚠️,WARNING SIGN warning,"place,symbol,travel,warning"
🚸,CHILDREN CROSSING,"child,crossing,pedestrian,place,sign,symbol,traffic,travel"
⛔️,NO ENTRY,"entry,forbidden,no,not,prohibited,symbol,traffic,travel"
🚫,NO ENTRY SIGN prohibited,"entry,forbidden,no,not,prohibited,symbol,travel"
🚳,NO BICYCLES,"bicycle,bike,forbidden,no,not,place,prohibited,sign,sport,symbol,travel,vehicle"
🚭,NO SMOKING SYMBOL no smoking,"forbidden,no,not,prohibited,sign,smoking,symbol,travel"
🚯,DO NOT LITTER SYMBOL no littering,"forbidden,litter,no,not,prohibited,sign,symbol,travel"
🚱,NONPOTABLE WATER SYMBOL nonpotable water,"drink,forbidden,no,not,potable,prohibited,sign,symbol,travel,water"
🚷,NO PEDESTRIANS,"forbidden,no,not,pedestrian,place,prohibited,sign,symbol,travel"
☢️,RADIOACTIVE SIGN radioactive,"radioactive,sign,symbol"
☣️,BIOHAZARD SIGN biohazard,"biohazard,sign,symbol"
⬆️,UPWARDS BLACK ARROW up arrow,"arrow,cardinal,direction,north,symbol"
↗️,NORTH EAST ARROW upright arrow,"arrow,direction,intercardinal,northeast,symbol"
➡️,BLACK RIGHTWARDS ARROW right arrow,"arrow,cardinal,direction,east,symbol"
↘️,SOUTH EAST ARROW downright arrow,"arrow,direction,intercardinal,southeast,symbol"
⬇️,DOWNWARDS BLACK ARROW down arrow,"arrow,cardinal,direction,down,south,symbol"
↙️,SOUTH WEST ARROW downleft arrow,"arrow,direction,intercardinal,southwest,symbol"
⬅️,LEFTWARDS BLACK ARROW left arrow,"arrow,cardinal,direction,symbol,west"
↖️,NORTH WEST ARROW upleft arrow,"arrow,direction,intercardinal,northwest,symbol"
↕️,UP DOWN ARROW updown arrow,"arrow,symbol"
↔️,LEFT RIGHT ARROW leftright arrow,"arrow,symbol"
↩️,LEFTWARDS ARROW WITH HOOK right arrow curving left,"arrow,symbol"
↪️,RIGHTWARDS ARROW WITH HOOK left arrow curving right,"arrow,symbol"
⤴️,ARROW POINTING RIGHTWARDS THEN CURVING UPWARDS right arrow curving up,"arrow,symbol"
⤵️,ARROW POINTING RIGHTWARDS THEN CURVING DOWNWARDS right arrow curving down,"arrow,down,symbol"
🔃,CLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS clockwise vertical arrows,"arrow,clockwise,reload,symbol"
🔄,ANTICLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS anticlockwise arrows button,"anticlockwise,arrow,counterclockwise,symbol,withershins"
🔙,BACK WITH LEFTWARDS ARROW ABOVE back arrow,"arrow,back,symbol"
🔚,END WITH LEFTWARDS ARROW ABOVE end arrow,"arrow,end,symbol"
🔛,ON WITH EXCLAMATION MARK WITH LEFT RIGHT ARROW ABOVE on! arrow,"arrow,mark,on,symbol"
🔜,SOON WITH RIGHTWARDS ARROW ABOVE soon arrow,"arrow,soon,symbol"
🔝,TOP WITH UPWARDS ARROW ABOVE top arrow,"arrow,symbol,top,up"
🛐,PLACE OF WORSHIP,"place,religion,worship"
⚛️,ATOM SYMBOL,"atheist,atom,symbol"
🕉️,OM SYMBOL om,"hindu,om,religion,symbol"
✡️,STAR OF DAVID,"david,jew,jewish,religion,star,symbol"
☸️,WHEEL OF DHARMA,"buddhist,dharma,religion,symbol,wheel"
☯️,YIN YANG,"religion,sign,symbol,tao,taoist,yang,yin"
✝️,LATIN CROSS,"christian,cross,religion,symbol"
☦️,ORTHODOX CROSS,"christian,cross,religion,symbol"
☪️,STAR AND CRESCENT,"islam,muslim,religion,symbol"
☮️,PEACE SYMBOL,"peace,sign,symbol"
🕎,MENORAH WITH NINE BRANCHES menorah,"candelabrum,candlestick,menorah,object,place,religion"
🔯,SIX POINTED STAR WITH MIDDLE DOT dotted sixpointed star,"fortune,object,star,symbol"
♻️,BLACK UNIVERSAL RECYCLING SYMBOL recycling symbol,"recycle,sign,symbol"
📛,NAME BADGE,"badge,name,object,office"
⚜️,FLEURDELIS,"fleurdelis,symbol"
🔰,JAPANESE SYMBOL FOR BEGINNER,"beginner,chevron,green,japanese,leaf,object,tool,yellow"
🔱,TRIDENT EMBLEM,"anchor,emblem,object,ship,symbol,tool,trident"
⭕️,HEAVY LARGE CIRCLE,"circle,o,symbol,travel"
✅,WHITE HEAVY CHECK MARK,"check,mark,sign,symbol"
☑️,BALLOT BOX WITH CHECK,"ballot,box,check,sign,symbol"
✔️,HEAVY CHECK MARK,"check,mark,sign,symbol"
✖️,HEAVY MULTIPLICATION X,"cancel,multiplication,multiply,sign,symbol,x"
❌,CROSS MARK,"ccross,ancel,mark,multiplication,multiply,sign,symbol,x"
❎,NEGATIVE SQUARED CROSS MARK cross mark button,"mark,sign,square,symbol"
➕,HEAVY PLUS SIGN,"math,plus,sign,symbol"
➖,HEAVY MINUS SIGN,"math,minus,sign,symbol"
➗,HEAVY DIVISION SIGN,"division,math,sign,symbol"
➰,CURLY LOOP,"curl,loop,sign,symbol"
➿,DOUBLE CURLY LOOP,"curl,double,loop,sign,symbol"
〽️,PART ALTERNATION MARK,"mark,part,sign,symbol"
✳️,EIGHT SPOKED ASTERISK eightspoked asterisk,"asterisk,sign,symbol"
✴️,EIGHT POINTED BLACK STAR eightpointed star,"sign,star,symbol"
❇️,SPARKLE,"sign,sparkle,symbol"
‼️,DOUBLE EXCLAMATION MARK,"bangbang,exclamation,mark,punctuation,symbol,word"
⁉️,EXCLAMATION QUESTION MARK,"exclamation,interrobang,mark,punctuation,question,symbol,word"
❓,BLACK QUESTION MARK ORNAMENT question mark,"mark,punctuation,question,symbol,word"
❔,WHITE QUESTION MARK ORNAMENT white question mark,"mark,outlined,punctuation,question,symbol,word"
❕,WHITE EXCLAMATION MARK ORNAMENT white exclamation mark,"exclamation,mark,outlined,punctuation,symbol,word"
❗️,HEAVY EXCLAMATION MARK SYMBOL exclamation mark,"exclamation,mark,punctuation,symbol,word"
〰️,WAVY DASH,"dash,punctuation,sound,symbol,wavy"
©️,COPYRIGHT SIGN copyright,"copyright,symbol,word"
®️,REGISTERED SIGN registered,"registered,symbol,word"
™️,TRADE MARK SIGN trade mark,"mark,symbol,tm,trademark,word"
♈️,ARIES,"aries,ram,symbol,time,zodiac"
♉️,TAURUS,"bull,ox,symbol,taurus,time,zodiac"
♊️,GEMINI,"gemini,symbol,time,twins,zodiac"
♋️,CANCER,"cancer,crab,symbol,time,zodiac"
♌️,LEO,"leo,lion,symbol,time,zodiac"
♍️,VIRGO,"maiden,symbol,time,virgin,virgo,zodiac"
♎️,LIBRA,"balance,justice,libra,scales,symbol,time,zodiac"
♏️,SCORPIUS,"scorpio,scorpion,scorpius,symbol,time,zodiac"
♐️,SAGITTARIUS,"archer,sagittarius,symbol,time,zodiac"
♑️,CAPRICORN,"capricorn,goat,symbol,time,zodiac"
♒️,AQUARIUS,"aquarius,bearer,symbol,time,water,zodiac"
♓️,PISCES,"fish,pisces,symbol,time,zodiac"
⛎,OPHIUCHUS,"bearer,ophiuchus,serpent,snake,symbol,zodiac"
🔀,TWISTED RIGHTWARDS ARROWS shuffle tracks button,"arrow,crossed,symbol"
🔁,CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS repeat button,"arrow,clockwise,repeat,symbol"
🔂,CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS WITH CIRCLED ONE OVERLAY repeat single button,"arrow,clockwise,once,symbol"
▶️,BLACK RIGHTPOINTING TRIANGLE play button,"arrow,play,right,sound,symbol,triangle"
⏩,BLACK RIGHTPOINTING DOUBLE TRIANGLE fastforword button,"arrow,double,fast,forward,sound,symbol"
⏭️,BLACK RIGHTPOINTING DOUBLE TRIANGLE WITH VERTICAL BAR next track button,"arrow,next scene,next track,sound,symbol,triangle"
⏯️,BLACK RIGHTPOINTING TRIANGLE WITH DOUBLE VERTICAL BAR play or pause button,"arrow,pause,play,right,sound,symbol,triangle"
◀️,BLACK LEFTPOINTING TRIANGLE reverse button,"arrow,left,reverse,sound,symbol,triangle"
⏪,BLACK LEFTPOINTING DOUBLE TRIANGLE fast reverse button,"arrow,double,rewind,sound,symbol"
⏮️,BLACK LEFTPOINTING DOUBLE TRIANGLE WITH VERTICAL BAR last track button,"arrow,previous scene,previous track,sound,symbol,triangle"
🔼,UPPOINTING SMALL RED TRIANGLE up button,"arrow,button,red,symbol"
⏫,BLACK UPPOINTING DOUBLE TRIANGLE fast up button,"arrow,double,sound,symbol"
🔽,DOWNPOINTING SMALL RED TRIANGLE down button,"arrow,button,down,red,symbol"
⏬,BLACK DOWNPOINTING DOUBLE TRIANGLE fast down button,"arrow,double,down,sound,symbol"
⏸️,DOUBLE VERTICAL BAR pause button,"bar,double,pause,sound,symbol,vertical"
⏹️,BLACK SQUARE FOR STOP stop button,"sound,square,stop,symbol"
⏺️,BLACK CIRCLE FOR RECORD record button,"circle,record,sound,symbol"
⏏️,EJECT SYMBOL eject button,"eject,sound,symbol"
🎦,CINEMA,"activity,camera,cinema,entertainment,film,movie,object,symbol"
🔅,LOW BRIGHTNESS SYMBOL dim button,"brightness,dim,low,sign,symbol"
🔆,HIGH BRIGHTNESS SYMBOL bright button,"bright,brightness,sign,symbol"
📶,ANTENNA WITH BARS antenna bars,"antenna,bar,cell,communication,mobile,object,phone,signal,symbol,telephone"
📵,NO MOBILE PHONES,"cell,communication,forbidden,mobile,no,not,object,phone,prohibited,symbol,telephone"
📳,VIBRATION MODE,"cell,communication,mobile,mode,object,phone,symbol,telephone,vibration"
📴,MOBILE PHONE OFF,"cell,communication,mobile,object,off,phone,symbol,telephone"
#️⃣,Keycap NUMBER SIGN keycap number,"hash,keycap,pound,symbol,word"
*️⃣,Keycap ASTERISK,"asterisk,keycap,star,symbol"
0️⃣,Keycap DIGIT ZERO,"0,keycap,symbol,word,zero"
1️⃣,Keycap DIGIT ONE,"1,keycap,one,symbol,word"
2️⃣,Keycap DIGIT TWO,"2,keycap,symbol,two,word"
3️⃣,Keycap DIGIT THREE,"3,keycap,symbol,three,word"
4️⃣,Keycap DIGIT FOUR,"4,four,keycap,symbol,word"
5️⃣,Keycap DIGIT FIVE,"5,five,keycap,symbol,word"
6️⃣,Keycap DIGIT SIX,"6,keycap,six,symbol,word"
7️⃣,Keycap DIGIT SEVEN,"7,keycap,seven,symbol,word"
8️⃣,Keycap DIGIT EIGHT,"8,eight,keycap,symbol,word"
9️⃣,Keycap DIGIT NINE,"9,keycap,nine,symbol,word"
🔟,KEYCAP TEN,"10,keycap,symbol,ten,word"
💯,HUNDRED POINTS SYMBOL hundred points,"100,full,hundred,office,score,symbol"
🔞,NO ONE UNDER EIGHTEEN SYMBOL no one under eighteen,"18,age restriction,eighteen,forbidden,no,not,prohibited,symbol,underage,word"
🔠,INPUT SYMBOL FOR LATIN CAPITAL LETTERS input latin uppercase,"input,latin,letters,symbol,uppercase,word"
🔡,INPUT SYMBOL FOR LATIN SMALL LETTERS input latin lowercase,"abcd,input,latin,letters,lowercase,symbol,word"
🔢,INPUT SYMBOL FOR NUMBERS input numbers,"1234,input,numbers,symbol,word"
🔣,INPUT SYMBOL FOR SYMBOLS input symbols,"input,symbol,word"
🔤,INPUT SYMBOL FOR LATIN LETTERS input latin letters,"abc,alphabet,input,latin,letters,symbol,word"
🅰️,NEGATIVE SQUARED LATIN CAPITAL LETTER A a button,"a,blood,symbol,word"
🆎,NEGATIVE SQUARED AB ab button,"ab,blood,symbol,word"
🅱️,NEGATIVE SQUARED LATIN CAPITAL LETTER B b button,"b,blood,symbol,word"
🆑,SQUARED CL,"cl,symbol,word"
🆒,SQUARED COOL,"cool,symbol,word"
🆓,SQUARED FREE,"free,symbol,word"
ℹ️,INFORMATION SOURCE,"i,information,symbol,word"
🆔,SQUARED ID,"id,identity,symbol,word"
Ⓜ️,CIRCLED LATIN CAPITAL LETTER M circled letter m,"circle,m,place,symbol,word"
🆕,SQUARED NEW,"new,symbol,word"
🆖,SQUARED NG,"ng,symbol,word"
🅾️,NEGATIVE SQUARED LATIN CAPITAL LETTER O o button,"blood,o,symbol,word"
🆗,SQUARED OK,"ok,symbol,word"
🅿️,NEGATIVE SQUARED LATIN CAPITAL LETTER P p button,"parking,place,sign,symbol,word"
🆘,SQUARED SOS,"help,sos,symbol,word"
🆙,SQUARED UP WITH EXCLAMATION MARK up! button,"mark,symbol,up,word"
🆚,SQUARED VS,"symbol,versus,vs,word"
🈁,SQUARED KATAKANA KOKO,"japanese,symbol,word"
🈂️,SQUARED KATAKANA SA,"japanese,symbol,word"
🈷️,SQUARED CJK UNIFIED IDEOGRAPH6708 squared moon ideograph,"japanese,symbol,word"
🈶,SQUARED CJK UNIFIED IDEOGRAPH6709 squared exist ideograph,"japanese,symbol,word"
🈯️,SQUARED CJK UNIFIED IDEOGRAPH6307 squared finger ideograph,"japanese,symbol,word"
🉐,CIRCLED IDEOGRAPH ADVANTAGE circled advantage ideograph,"japanese,symbol,word"
🈹,SQUARED CJK UNIFIED IDEOGRAPH5272 squared divide ideograph,"japanese,symbol,word"
🈚️,SQUARED CJK UNIFIED IDEOGRAPH7121 squared negation ideograph,"japanese,symbol,word"
🈲,SQUARED CJK UNIFIED IDEOGRAPH7981 squared prohibit ideograph,"japanese,symbol,word"
🉑,CIRCLED IDEOGRAPH ACCEPT circled accept ideograph,"chinese,symbol,word"
🈸,SQUARED CJK UNIFIED IDEOGRAPH7533 squared apply ideograph,"chinese,symbol,word"
🈴,SQUARED CJK UNIFIED IDEOGRAPH5408 squared together ideograph,"chinese,symbol,word"
🈳,SQUARED CJK UNIFIED IDEOGRAPH7A7A squared empty ideograph,"chinese,symbol,word"
㊗️,CIRCLED IDEOGRAPH CONGRATULATION circled congratulate ideograph,"chinese,congratulation,congratulations,ideograph,symbol,word"
㊙️,CIRCLED IDEOGRAPH SECRET circled secret ideograph,"chinese,ideograph,secret,symbol,word"
🈺,SQUARED CJK UNIFIED IDEOGRAPH55B6 squared operating ideograph,"chinese,symbol,word"
🈵,SQUARED CJK UNIFIED IDEOGRAPH6E80 squared fullness ideograph,"chinese,symbol,word"
▪️,BLACK SMALL SQUARE,"geometric,sign,square,symbol"
▫️,WHITE SMALL SQUARE,"geometric,sign,square,symbol"
◻️,WHITE MEDIUM SQUARE,"geometric,sign,square,symbol"
◼️,BLACK MEDIUM SQUARE,"geometric,sign,square,symbol"
◽️,WHITE MEDIUM SMALL SQUARE white mediumsmall square,"geometric,sign,square,symbol"
◾️,BLACK MEDIUM SMALL SQUARE black mediumsmall square,"geometric,sign,square,symbol"
⬛️,BLACK LARGE SQUARE,"geometric,sign,square,symbol"
⬜️,WHITE LARGE SQUARE,"geometric,sign,square,symbol"
🔶,LARGE ORANGE DIAMOND,"diamond,geometric,orange,sign,symbol"
🔷,LARGE BLUE DIAMOND,"blue,diamond,geometric,sign,symbol"
🔸,SMALL ORANGE DIAMOND,"diamond,geometric,orange,sign,symbol"
🔹,SMALL BLUE DIAMOND,"blue,diamond,geometric,sign,symbol"
🔺,UPPOINTING RED TRIANGLE red triangle pointed up,"geometric,red,sign,symbol"
🔻,DOWNPOINTING RED TRIANGLE red triangle pointed down,"down,geometric,red,sign,symbol"
💠,DIAMOND SHAPE WITH A DOT INSIDE diamond with a dot,"comic,diamond,geometric,inside,sign,symbol"
🔘,RADIO BUTTON,"button,geometric,radio,sign,symbol"
🔲,BLACK SQUARE BUTTON,"button,geometric,sign,square,symbol"
🔳,WHITE SQUARE BUTTON,"button,geometric,outlined,sign,square,symbol"
⚪️,MEDIUM WHITE CIRCLE white circle,"circle,geometric,sign,symbol"
⚫️,MEDIUM BLACK CIRCLE black circle,"circle,geometric,sign,symbol"
🔴,LARGE RED CIRCLE red circle,"circle,geometric,red,sign,symbol"
🔵,LARGE BLUE CIRCLE blue circle,"blue,circle,geometric,sign,symbol"
🇦🇨,Flag for Ascension Island,"ascension,flag,island,other"
🇦🇩,Flag for Andorra,"andorra,flag,other"
🇦🇪,Flag for United Arab Emirates,"emirates,flag,other,uae,united"
🇦🇫,Flag for Afghanistan,"afghanistan,flag,other"
🇦🇬,Flag for Antigua  Barbuda,"antigua,barbuda,flag,other"
🇦🇮,Flag for Anguilla,"anguilla,flag,other"
🇦🇱,Flag for Albania,"albania,flag,other"
🇦🇲,Flag for Armenia,"armenia,flag,other"
🇦🇴,Flag for Angola,"angola,flag,other"
🇦🇶,Flag for Antarctica,"antarctica,flag,other"
🇦🇷,Flag for Argentina,"argentina,flag,other"
🇦🇸,Flag for American Samoa,"american,flag,other,samoa"
🇦🇹,Flag for Austria,"austria,flag,other"
🇦🇺,Flag for Australia,"australia,flag,other"
🇦🇼,Flag for Aruba,"aruba,flag,other"
🇦🇽,Flag for Åland Islands,"åland,flag,other"
🇦🇿,Flag for Azerbaijan,"azerbaijan,flag,other"
🇧🇦,Flag for Bosnia  Herzegovina,"bosnia,flag,herzegovina,other"
🇧🇧,Flag for Barbados,"barbados,flag,other"
🇧🇩,Flag for Bangladesh,"bangladesh,flag,other"
🇧🇪,Flag for Belgium,"belgium,flag,other"
🇧🇫,Flag for Burkina Faso,"burkina faso,flag,other"
🇧🇬,Flag for Bulgaria,"bulgaria,flag,other"
🇧🇭,Flag for Bahrain,"bahrain,flag,other"
🇧🇮,Flag for Burundi,"burundi,flag,other"
🇧🇯,Flag for Benin,"benin,flag,other"
🇧🇱,Flag for St. Barthélemy,"barthelemy,barthélemy,flag,other,saint"
🇧🇲,Flag for Bermuda,"bermuda,flag,other"
🇧🇳,Flag for Brunei,"brunei,darussalam,flag,other"
🇧🇴,Flag for Bolivia,"bolivia,flag,other"
🇧🇶,Flag for Caribbean Netherlands,"bonaire,caribbean,eustatius,flag,netherlands,other,saba,sint"
🇧🇷,Flag for Brazil,"brazil,flag,other"
🇧🇸,Flag for Bahamas,"bahamas,flag,other"
🇧🇹,Flag for Bhutan,"bhutan,flag,other"
🇧🇻,Flag for Bouvet Island,"bouvet,flag,island,other"
🇧🇼,Flag for Botswana,"botswana,flag,other"
🇧🇾,Flag for Belarus,"belarus,flag,other"
🇧🇿,Flag for Belize,"belize,flag,other"
🇨🇦,Flag for Canada,"canada,flag,other"
🇨🇨,Flag for Cocos Islands,"cocos,flag,island,keeling,other"
🇨🇩,Flag for Congo  Kinshasa,"congo,congokinshasa,democratic republic of congo,drc,flag,kinshasa,other,republic"
🇨🇫,Flag for Central African Republic,"central african republic,flag,other,republic"
🇨🇬,Flag for Congo  Brazzaville,"brazzaville,congo,congo republic,congobrazzaville,flag,other,republic,republic of the congo"
🇨🇭,Flag for Switzerland,"flag,other,switzerland"
🇨🇮,Flag for Côte d’Ivoire,"cote ivoire,côte ivoire,flag,ivory coast,other"
🇨🇰,Flag for Cook Islands,"cook,flag,island,other"
🇨🇱,Flag for Chile,"chile,flag,other"
🇨🇲,Flag for Cameroon,"cameroon,flag,other"
🇨🇳,Flag for China,"china,flag,other"
🇨🇴,Flag for Colombia,"colombia,flag,other"
🇨🇵,Flag for Clipperton Island,"clipperton,flag,island,other"
🇨🇷,Flag for Costa Rica,"costa rica,flag,other"
🇨🇺,Flag for Cuba,"cuba,flag,other"
🇨🇻,Flag for Cape Verde,"cabo,cape,flag,other,verde"
🇨🇼,Flag for Curaçao,"antilles,curacao,curaçao,flag,other"
🇨🇽,Flag for Christmas Island,"christmas,flag,island,other"
🇨🇾,Flag for Cyprus,"cyprus,flag,other"
🇨🇿,Flag for Czech Republic,"czech republic,flag,other"
🇩🇪,Flag for Germany,"flag,germany,other"
🇩🇬,Flag for Diego Garcia,"diego garcia,flag,other"
🇩🇯,Flag for Djibouti,"djibouti,flag,other"
🇩🇰,Flag for Denmark,"denmark,flag,other"
🇩🇲,Flag for Dominica,"dominica,flag,other"
🇩🇴,Flag for Dominican Republic,"dominican republic,flag,other"
🇩🇿,Flag for Algeria,"algeria,flag,other"
🇪🇦,Flag for Ceuta  Melilla,"ceuta,flag,melilla,other"
🇪🇨,Flag for Ecuador,"ecuador,flag,other"
🇪🇪,Flag for Estonia,"estonia,flag,other"
🇪🇬,Flag for Egypt,"egypt,flag,other"
🇪🇭,Flag for Western Sahara,"flag,other,sahara,west,western sahara"
🇪🇷,Flag for Eritrea,"eritrea,flag,other"
