unicode,description,annotation
🚣,ROWBOAT,"boat,place,rowboat,travel,vehicle"
🚣🏻,"ROWBOAT,TYPE12","boat,place,rowboat,travel,vehicle"
🚣🏼,"ROWBOAT,TYPE3","boat,place,rowboat,travel,vehicle"
🚣🏽,"ROWBOAT,TYPE4","boat,place,rowboat,travel,vehicle"
🚣🏾,"ROWBOAT,TYPE5","boat,place,rowboat,travel,vehicle"
🚣🏿,"ROWBOAT,TYPE6","boat,place,rowboat,travel,vehicle"
🚤,SPEEDBOAT,"boat,place,speedboat,travel,vehicle"
🛳️,PASSENGER SHIP,"passenger,place,ship,travel,vehicle"
⛴️,FERRY,"boat,ferry,place,travel"
🛥️,MOTOR BOAT,"boat,motorboat,place,travel,vehicle"
🚢,SHIP,"place,ship,travel,vehicle"
✈️,AIRPLANE,"airplane,place,travel,vehicle"
🛩️,SMALL AIRPLANE,"airplane,place,travel,vehicle"
🛫,AIRPLANE DEPARTURE,"airplane,checkin,departure,departures,place,travel,vehicle"
🛬,AIRPLANE ARRIVING airplane arrival,"airplane,arrivals,arriving,landing,place,travel,vehicle"
💺,SEAT,"chair,object,office,place,seat,travel"
🚁,HELICOPTER,"helicopter,place,travel,vehicle"
🚟,SUSPENSION RAILWAY,"place,railway,suspension,travel,vehicle"
🚠,MOUNTAIN CABLEWAY,"cable,gondola,mountain,place,travel,vehicle"
🚡,AERIAL TRAMWAY,"aerial,cable,car,gondola,place,ropeway,tramway,travel,vehicle"
🚀,ROCKET,"place,rocket,space,travel,vehicle"
🛰️,SATELLITE,"place,satellite,space,vehicle"
🛎️,BELLHOP BELL,"bell,bellhop,hotel,object"
🚪,DOOR,"door,object,travel"
🛌,SLEEPING ACCOMMODATION person in bed,"hotel,object,sleep"
🛏️,BED,"bed,hotel,object,sleep"
🛋️,COUCH AND LAMP,"couch,hotel,lamp,object"
🚽,TOILET,"object,place,toilet,travel"
🚿,SHOWER,"object,place,shower,travel,water"
🛀,BATH person taking bath,"bath,bathtub,object,place,travel"
🛀🏻,"BATH,TYPE12","bath,bathtub,object,place,travel"
🛀🏼,"BATH,TYPE3","bath,bathtub,object,place,travel"
🛀🏽,"BATH,TYPE4","bath,bathtub,object,place,travel"
🛀🏾,"BATH,TYPE5","bath,bathtub,object,place,travel"
🛀🏿,"BATH,TYPE6","bath,bathtub,object,place,travel"
🛁,BATHTUB,"bath,bathtub,object,place,travel"
⌛️,HOURGLASS,"hourglass,object,sand,time,timer"
⏳,HOURGLASS WITH FLOWING SAND,"hourglass,object,sand,time,timer"
⌚️,WATCH,"clock,object,time,watch"
⏰,ALARM CLOCK,"alarm,clock,object,time"
⏱️,STOPWATCH,"clock,object,stopwatch,time"
⏲️,TIMER CLOCK,"clock,object,time,timer"
🕰️,MANTELPIECE CLOCK,"clock,object"
🕛,CLOCK FACE TWELVE OCLOCK,"00,12,12:00,clock,o'clock,symbol,time,twelve"
🕧,CLOCK FACE TWELVETHIRTY,"12,12:30,30,clock,symbol,thirty,time,twelve"
🕐,CLOCK FACE ONE OCLOCK,"00,1,1:00,clock,o’clock,one,symbol,time"
🕜,CLOCK FACE ONETHIRTY,"1,1:30,30,clock,one,symbol,thirty,time"
🕑,CLOCK FACE TWO OCLOCK,"00,2,2:00,clock,o’clock,symbol,time,two"
🕝,CLOCK FACE TWOTHIRTY,"2,2:30,30,clock,symbol,thirty,time,two"
🕒,CLOCK FACE THREE OCLOCK,"00,3,3:00,clock,o’clock,symbol,three,time"
🕞,CLOCK FACE THREETHIRTY,"3,3:30,30,clock,symbol,thirty,three,time"
🕓,CLOCK FACE FOUR OCLOCK,"00,4,4:00,clock,four,o’clock,symbol,time"
🕟,CLOCK FACE FOURTHIRTY,"30,4,4:30,clock,four,symbol,thirty,time"
🕔,CLOCK FACE FIVE OCLOCK,"00,5,5:00,clock,five,o’clock,symbol,time"
🕠,CLOCK FACE FIVETHIRTY,"30,5,5:30,clock,five,symbol,thirty,time"
🕕,CLOCK FACE SIX OCLOCK,"00,6,6:00,clock,o’clock,six,symbol,time"
🕡,CLOCK FACE SIXTHIRTY,"30,6,6:30,clock,six,symbol,thirty,time"
🕖,CLOCK FACE SEVEN OCLOCK,"00,7,7:00,clock,o’clock,seven,symbol,time"
🕢,CLOCK FACE SEVENTHIRTY,"30,7,7:30,clock,seven,symbol,thirty,time"
🕗,CLOCK FACE EIGHT OCLOCK,"00,8,8:00,clock,eight,o’clock,symbol,time"
🕣,CLOCK FACE EIGHTTHIRTY,"30,8,8:30,clock,eight,symbol,thirty,time"
🕘,CLOCK FACE NINE OCLOCK,"00,9,9:00,clock,nine,o’clock,symbol,time"
🕤,CLOCK FACE NINETHIRTY,"30,9,9:30,clock,nine,symbol,thirty,time"
🕙,CLOCK FACE TEN OCLOCK,"00,10,10:00,clock,o’clock,symbol,ten,time"
🕥,CLOCK FACE TENTHIRTY,"10,10:30,30,clock,symbol,ten,thirty,time"
🕚,CLOCK FACE ELEVEN OCLOCK,"00,11,11:00,clock,eleven,o’clock,symbol,time"
🕦,CLOCK FACE ELEVENTHIRTY,"11,11:30,30,clock,eleven,symbol,thirty,time"
🌑,NEW MOON SYMBOL new moon,"dark,moon,nature,place,space,time,weather"
🌒,WAXING CRESCENT MOON SYMBOL waxing crescent moon,"crescent,moon,nature,place,space,time,waxing,weather"
🌓,FIRST QUARTER MOON SYMBOL first quarter moon,"moon,nature,place,quarter,space,time,weather"
🌔,WAXING GIBBOUS MOON SYMBOL waxing gibbous moon,"gibbous,moon,nature,place,space,time,waxing,weather"
🌕,FULL MOON SYMBOL full moon,"full,moon,nature,place,space,time,weather"
🌖,WANING GIBBOUS MOON SYMBOL waning gibbous moon,"gibbous,moon,nature,place,space,time,waning,weather"
🌗,LAST QUARTER MOON SYMBOL last quarter moon,"moon,nature,place,quarter,space,time,weather"
🌘,WANING CRESCENT MOON SYMBOL waning crescent moon,"crescent,moon,nature,place,space,time,waning,weather"
🌙,CRESCENT MOON,"crescent,moon,nature,place,space,time,weather"
🌚,NEW MOON WITH FACE new moon face,"face,moon,nature,place,space,time,weather"
🌛,FIRST QUARTER MOON WITH FACE,"face,moon,nature,place,quarter,space,weather"
🌜,LAST QUARTER MOON WITH FACE,"face,moon,nature,place,quarter,space,weather"
🌡️,THERMOMETER,"nature,thermometer,weather"
☀️,BLACK SUN WITH RAYS sun,"bright,nature,rays,space,sun,sunny,weather"
🌝,FULL MOON WITH FACE,"bright,face,full,moon,nature,place,space,weather"
🌞,SUN WITH FACE,"bright,face,nature,place,space,sun,weather"
⭐️,WHITE MEDIUM STAR,"nature,place,star"
🌟,GLOWING STAR,"glittery,glow,object,place,shining,sparkle,star"
🌠,SHOOTING STAR,"activity,falling,nature,place,shooting,space,star"
☁️,CLOUD,"cloud,nature,weather"
⛅️,SUN BEHIND CLOUD,"cloud,nature,sun,weather"
⛈️,THUNDER CLOUD AND RAIN cloud with lightning and rain,"cloud,nature,rain,thunder,weather"
🌤️,WHITE SUN WITH SMALL CLOUD sun behind small cloud,"cloud,nature,sun,weather"
🌥️,WHITE SUN BEHIND CLOUD sun behind large cloud,"cloud,nature,sun,weather"
🌦️,WHITE SUN BEHIND CLOUD WITH RAIN sun behind cloud with rain,"cloud,nature,rain,sun,weather"
🌧️,CLOUD WITH RAIN,"cloud,nature,rain,weather"
🌨️,CLOUD WITH SNOW,"cloud,cold,nature,snow,weather"
🌩️,CLOUD WITH LIGHTNING,"cloud,lightning,nature,weather"
🌪️,CLOUD WITH TORNADO tornado,"cloud,nature,tornado,weather,whirlwind"
🌫️,FOG,"cloud,fog,nature,weather"
🌬️,WIND BLOWING FACE wind face,"blow,cloud,face,nature,weather,wind"
🌀,CYCLONE,"cyclone,dizzy,nature,twister,typhoon,weather"
🌈,RAINBOW,"nature,rain,rainbow,weather"
🌂,CLOSED UMBRELLA,"clothing,nature,person,rain,umbrella,weather"
☂️,UMBRELLA,"clothing,nature,rain,umbrella,weather"
☔️,UMBRELLA WITH RAIN DROPS,"clothing,drop,nature,rain,umbrella,weather"
⛱️,UMBRELLA ON GROUND,"nature,rain,sun,travel,umbrella,weather"
⚡️,HIGH VOLTAGE SIGN high voltage,"danger,electric,electricity,lightning,nature,symbol,voltage,zap"
❄️,SNOWFLAKE,"cold,nature,snow,snowflake,weather"
☃️,SNOWMAN,"cold,nature,snow,snowman,weather"
⛄️,SNOWMAN WITHOUT SNOW,"cold,nature,snow,snowman,weather"
☄️,COMET,"comet,object,space"
🔥,FIRE,"fire,flame,object,tool"
💧,DROPLET,"cold,comic,drop,emotion,nature,object,person,sweat,weather"
🌊,WATER WAVE,"nature,ocean,place,water,wave,weather"
🎃,JACKOLANTERN,"activity,celebration,entertainment,halloween,jack,lantern,object"
🎄,CHRISTMAS TREE,"activity,celebration,christmas,entertainment,object,tree"
🎆,FIREWORKS,"activity,celebration,entertainment,fireworks,object"
🎇,FIREWORK SPARKLER sparkler,"activity,celebration,entertainment,fireworks,object,sparkle"
✨,SPARKLES,"emotion,entertainment,object,sign,sparkle,star"
🎈,BALLOON,"activity,balloon,celebration,entertainment,object"
🎉,PARTY POPPER,"activity,celebration,entertainment,object,party,popper,tada"
🎊,CONFETTI BALL,"activity,ball,celebration,confetti,entertainment,object"
🎋,TANABATA TREE,"activity,banner,celebration,entertainment,japanese,object,tree"
🎍,PINE DECORATION,"activity,bamboo,celebration,japanese,object,pine,plant"
🎎,JAPANESE DOLLS,"activity,celebration,doll,entertainment,festival,japanese,object"
🎏,CARP STREAMER,"activity,carp,celebration,entertainment,flag,object,streamer"
🎐,WIND CHIME,"activity,bell,celebration,chime,entertainment,object,wind"
🎑,MOON VIEWING CEREMONY moon ceremony,"activity,celebration,ceremony,entertainment,moon,nature,object"
🎀,RIBBON,"celebration,emotion,object,person,ribbon"
🎁,WRAPPED PRESENT,"box,celebration,entertainment,gift,object,present,wrapped"
🎗️,REMINDER RIBBON,"celebration,object,reminder,ribbon"
🎟️,ADMISSION TICKETS,"admission,entertainment,object,ticket"
🎫,TICKET,"activity,admission,entertainment,object,place,ticket"
🎖️,MILITARY MEDAL,"celebration,medal,military,object"
🏆,TROPHY,"object,place,prize,sport,trophy"
